Date,City,District,Price
2018-08-01,Alytus,Likiškiai,489.84
2018-09-01,Alytus,Likiškiai,462.53
2019-09-01,Alytus,Likiškėliai,488.24
2017-12-01,Alytus,Likiškėliai,517.21
2019-06-01,Alytus,Likiškėliai,444.15
2020-07-01,Alytus,Likiškėliai,682.28
2020-03-01,Alytus,Likiškėliai,538.78
2020-12-01,Alytus,Likiškėliai,900.53
2020-01-01,Alytus,Likiškėliai,636.34
2018-03-01,Alytus,Likiškėliai,739.12
2020-08-01,Alytus,Likiškėliai,737.15
2018-06-01,Alytus,Likiškėliai,709.32
2020-10-01,Alytus,Likiškėliai,899.04
2018-08-01,Alytus,Likiškėliai,646.06
2019-07-01,Alytus,Likiškėliai,443.16
2018-04-01,Alytus,Likiškėliai,719.21
2020-11-01,Alytus,Likiškėliai,899.04
2019-05-01,Alytus,Likiškėliai,430.08
2019-12-01,Alytus,Likiškėliai,647.69
2018-10-01,Alytus,Likiškėliai,507.42
2020-09-01,Alytus,Likiškėliai,901.57
2018-01-01,Alytus,Likiškėliai,547.25
2020-06-01,Alytus,Likiškėliai,726.72
2018-07-01,Alytus,Likiškėliai,722.43
2018-05-01,Alytus,Likiškėliai,722.18
2019-08-01,Alytus,Likiškėliai,539.18
2020-04-01,Alytus,Likiškėliai,565.51
2018-09-01,Alytus,Likiškėliai,535.85
2019-03-01,Alytus,Likiškėliai,578.09
2019-02-01,Alytus,Likiškėliai,640.02
2020-05-01,Alytus,Likiškėliai,721.57
2020-02-01,Alytus,Likiškėliai,530.93
2018-02-01,Alytus,Likiškėliai,626.23
2021-01-01,Alytus,Likiškėliai,897.44
2018-11-01,Alytus,Likiškėliai,536.28
2018-02-01,Alytus,Pirmas Alytus,215.87
2020-11-01,Alytus,Pirmas Alytus,600.57
2018-01-01,Alytus,Pirmas Alytus,248.89
2020-09-01,Alytus,Pirmas Alytus,717.73
2020-10-01,Alytus,Pirmas Alytus,689.02
2020-12-01,Alytus,Pirmas Alytus,604.28
2018-03-01,Alytus,Pirmas Alytus,211.11
2020-06-01,Alytus,Pirmas Alytus,677.42
2018-05-01,Alytus,Pirmas Alytus,377.64
2018-06-01,Alytus,Pirmas Alytus,370.97
2020-09-01,Kaunas,Rokai,836.19
2020-08-01,Kaunas,Rokai,859.12
2020-10-01,Kaunas,Rokai,941.26
2022-03-01,Kaunas,Rokai,1472.51
2021-01-01,Kaunas,Rokai,1303.85
2022-04-01,Kaunas,Rokai,1499.32
2020-11-01,Kaunas,Rokai,985.01
2022-02-01,Kaunas,Rokai,1532.25
2020-07-01,Kaunas,Marvelė,1332.5
2020-09-01,Kaunas,Marvelė,1332.5
2020-08-01,Kaunas,Marvelė,1332.5
2020-06-01,Kaunas,Marvelė,1332.5
2019-06-01,Kaunas,Marvelė,967.74
2020-10-01,Kaunas,Kleboniškis,807.16
2020-07-01,Kaunas,Kleboniškis,868.92
2020-11-01,Kaunas,Kleboniškis,775.1
2020-08-01,Kaunas,Kleboniškis,877.55
2020-09-01,Kaunas,Kleboniškis,825.43
2019-07-01,Kaunas,Rokai,798.94
2018-08-01,Kaunas,Rokai,637.44
2020-02-01,Kaunas,Rokai,907.92
2019-08-01,Kaunas,Rokai,770.3
2019-09-01,Kaunas,Rokai,782.59
2018-10-01,Kaunas,Rokai,523.81
2018-02-01,Kaunas,Rokai,547.79
2019-10-01,Kaunas,Rokai,916.85
2018-01-01,Kaunas,Rokai,559.1
2017-12-01,Kaunas,Rokai,580.39
2020-01-01,Kaunas,Rokai,924.58
2018-09-01,Kaunas,Rokai,542.32
2020-06-01,Kaunas,Rokai,864.44
2019-12-01,Kaunas,Rokai,913.51
2020-04-01,Kaunas,Rokai,880.79
2020-05-01,Kaunas,Rokai,881.49
2020-03-01,Kaunas,Rokai,882.75
2020-07-01,Kaunas,Panerys,1408.09
2020-10-01,Kaunas,Panerys,1292.49
2021-01-01,Kaunas,Panerys,1379.37
2020-09-01,Kaunas,Panerys,1320.92
2020-08-01,Kaunas,Panerys,1408.09
2020-12-01,Kaunas,Panerys,1244.77
2020-11-01,Kaunas,Panerys,1314.51
2017-05-01,Kaunas,Vaišvydava,784.39
2019-12-01,Kaunas,Vaišvydava,1242.54
2019-07-01,Kaunas,Vaišvydava,953.7
2019-08-01,Kaunas,Vaišvydava,1048.34
2019-09-01,Kaunas,Vaišvydava,1033.25
2018-11-01,Kaunas,Vaišvydava,1226.3
2019-06-01,Kaunas,Vaišvydava,1079.9
