Date,City,District,Price
2021-03-01,Vilnius,Paupys,18.39
2021-01-01,Vilnius,Paupys,21.18
2021-08-01,Vilnius,Paupys,18.18
2021-02-01,Vilnius,Paupys,21.13
2021-06-01,Vilnius,Paupys,18.38
2020-12-01,Vilnius,Paupys,20.76
2021-07-01,Vilnius,Paupys,15.72
2021-09-01,Vilnius,Paupys,16.65
2018-11-01,Vilnius,Bajorai,8.55
2019-08-01,Vilnius,Bajorai,8.16
2022-02-01,Vilnius,Bajorai,9.96
2022-06-01,Vilnius,Bajorai,14.06
2021-05-01,Vilnius,Bajorai,8.64
2017-03-01,Vilnius,Bajorai,6.78
2019-12-01,Vilnius,Bajorai,8.98
2020-08-01,Vilnius,Bajorai,8.05
2019-06-01,Vilnius,Bajorai,7.97
2017-06-01,Vilnius,Bajorai,8.19
2020-07-01,Vilnius,Bajorai,7.76
2021-06-01,Vilnius,Bajorai,8.51
2021-03-01,Vilnius,Bajorai,9.62
2019-10-01,Vilnius,Bajorai,7.4
2022-01-01,Vilnius,Bajorai,10.15
2020-10-01,Vilnius,Bajorai,8.69
2018-05-01,Vilnius,Bajorai,7.34
2022-04-01,Vilnius,Bajorai,12.14
2017-12-01,Vilnius,Bajorai,6.71
2017-10-01,Vilnius,Bajorai,6.08
2019-09-01,Vilnius,Bajorai,8.05
2017-04-01,Vilnius,Bajorai,7.04
2019-07-01,Vilnius,Bajorai,8.03
2018-07-01,Vilnius,Bajorai,7.76
2019-05-01,Vilnius,Bajorai,7.34
2018-03-01,Vilnius,Bajorai,6.49
2020-12-01,Vilnius,Bajorai,9.15
2017-05-01,Vilnius,Bajorai,7.61
2017-08-01,Vilnius,Bajorai,8.08
2019-02-01,Vilnius,Bajorai,7.96
2018-12-01,Vilnius,Bajorai,9.09
2020-05-01,Vilnius,Bajorai,8.19
2017-09-01,Vilnius,Bajorai,7.72
2021-02-01,Vilnius,Bajorai,10.41
2022-03-01,Vilnius,Bajorai,12.14
2017-01-01,Vilnius,Bajorai,6.99
2017-11-01,Vilnius,Bajorai,6.9
2018-01-01,Vilnius,Bajorai,6.75
2020-01-01,Vilnius,Bajorai,7.9
2018-08-01,Vilnius,Bajorai,8.1
2022-07-01,Vilnius,Bajorai,13.37
2020-09-01,Vilnius,Bajorai,8.77
2018-02-01,Vilnius,Bajorai,6.72
2020-06-01,Vilnius,Bajorai,8.26
2020-11-01,Vilnius,Bajorai,8.42
2019-11-01,Vilnius,Bajorai,8.87
