Date,City,District,Price
2019-10-01,Alytus,Senamiestis,1.93
2020-03-01,Alytus,Senamiestis,1.93
2019-11-01,Alytus,Senamiestis,2.24
2019-12-01,Alytus,Senamiestis,2.62
2019-05-01,Alytus,Senamiestis,1.3
2020-08-01,Alytus,Senamiestis,3.85
2020-04-01,Alytus,Senamiestis,1.93
2020-05-01,Alytus,Senamiestis,1.93
2020-06-01,Kaunas,Freda,10.15
2020-07-01,Kaunas,Freda,6.37
2021-03-01,Kaunas,Freda,4.25
2020-05-01,Kaunas,Freda,10.64
2020-05-01,Kaunas,Palemonas,3.4
2020-06-01,Kaunas,Palemonas,3.21
2018-08-01,Kaunas,Palemonas,3.33
2020-04-01,Kaunas,Palemonas,3.72
2020-07-01,Kaunas,Palemonas,2.95
2018-10-01,Kaunas,Panemunė,4.43
2018-11-01,Kaunas,Panemunė,4.96
2021-03-01,Kaunas,Panemunė,8.7
2020-05-01,Kaunas,Panemunė,7.68
2019-12-01,Kaunas,Panemunė,4.85
2018-09-01,Kaunas,Panemunė,3.97
2017-12-01,Kaunas,Panemunė,4.9
2018-12-01,Kaunas,Panemunė,6.12
2018-04-01,Kaunas,Panemunė,6.33
2018-03-01,Kaunas,Panemunė,5.52
2019-10-01,Kaunas,Panemunė,4.51
2021-02-01,Kaunas,Panemunė,9.48
2020-12-01,Kaunas,Panemunė,4.47
2019-10-01,Kaunas,Romainiai,6.14
2020-08-01,Kaunas,Romainiai,7.88
2018-11-01,Kaunas,Romainiai,5.6
2019-12-01,Kaunas,Romainiai,5.96
2018-05-01,Kaunas,Romainiai,4.31
2021-01-01,Kaunas,Romainiai,7.24
2020-10-01,Kaunas,Romainiai,6.02
2021-03-01,Kaunas,Romainiai,8.14
2019-01-01,Kaunas,Romainiai,5.81
2019-08-01,Kaunas,Romainiai,5.18
2020-11-01,Kaunas,Romainiai,7.11
2019-07-01,Kaunas,Romainiai,3.54
2019-04-01,Kaunas,Romainiai,5.82
2017-12-01,Kaunas,Romainiai,4.54
2019-03-01,Kaunas,Romainiai,6.1
2020-04-01,Kaunas,Romainiai,6.57
2019-05-01,Kaunas,Romainiai,5.49
2020-03-01,Kaunas,Romainiai,6.61
2020-07-01,Kaunas,Romainiai,5.47
2019-09-01,Kaunas,Romainiai,7.58
2018-10-01,Kaunas,Romainiai,5.49
2020-12-01,Kaunas,Romainiai,6.58
2018-09-01,Kaunas,Romainiai,6.25
2020-01-01,Kaunas,Romainiai,7.0
2020-02-01,Kaunas,Romainiai,7.25
2018-12-01,Kaunas,Romainiai,5.78
2018-01-01,Kaunas,Romainiai,4.63
2021-02-01,Kaunas,Romainiai,6.87
2019-12-01,Kaunas,Sargėnai,10.32
2019-03-01,Kaunas,Sargėnai,4.66
2020-03-01,Kaunas,Sargėnai,8.0
2018-11-01,Kaunas,Sargėnai,5.98
2018-12-01,Kaunas,Sargėnai,7.31
2020-01-01,Kaunas,Sargėnai,10.58
2020-02-01,Kaunas,Sargėnai,8.0
2019-05-01,Kaunas,Sargėnai,2.99
2017-12-01,Kaunas,Sargėnai,5.37
2018-02-01,Kaunas,Sargėnai,5.37
2019-02-01,Kaunas,Sargėnai,5.93
2019-11-01,Kaunas,Sargėnai,10.67
2018-01-01,Kaunas,Sargėnai,5.37
2019-04-01,Kaunas,Sargėnai,5.43
2019-09-01,Kaunas,Sargėnai,2.96
2021-01-01,Kaunas,Kalniečiai,4.42
2020-12-01,Kaunas,Kalniečiai,4.61
2017-12-01,Kaunas,Kalniečiai,4.8
2018-01-01,Kaunas,Kalniečiai,6.12
2018-02-01,Kaunas,Kalniečiai,6.54
2020-10-01,Kaunas,Kalniečiai,5.07
2020-09-01,Kaunas,Kalniečiai,4.83
2020-05-01,Kaunas,Kleboniškis,7.74
2018-12-01,Kaunas,Kleboniškis,7.55
2020-08-01,Kaunas,Lampėdžiai,7.89
2019-12-01,Kaunas,Lampėdžiai,6.7
2020-03-01,Kaunas,Lampėdžiai,6.63
2018-01-01,Kaunas,Lampėdžiai,6.5
2020-02-01,Kaunas,Lampėdžiai,6.73
2018-10-01,Kaunas,Lampėdžiai,4.46
2020-07-01,Kaunas,Lampėdžiai,6.81
2018-02-01,Kaunas,Lampėdžiai,6.5
2020-01-01,Kaunas,Lampėdžiai,6.72
2019-10-01,Kaunas,Petrašiūnai,5.81
2019-12-01,Kaunas,Petrašiūnai,4.1
2020-09-01,Kaunas,Petrašiūnai,3.5
2020-01-01,Kaunas,Petrašiūnai,3.75
2020-09-01,Kaunas,Žemutiniai Kaniūkai,7.62
2018-10-01,Kaunas,Amaliai,7.33
2018-12-01,Kaunas,Amaliai,3.57
2019-02-01,Kaunas,Amaliai,2.98
2018-06-01,Kaunas,Aleksotas,4.57
2021-03-01,Kaunas,Aleksotas,6.4
2018-11-01,Kaunas,Aleksotas,4.64
2021-02-01,Kaunas,Aleksotas,6.56
2018-07-01,Kaunas,Aleksotas,3.98
2020-10-01,Kaunas,Aleksotas,5.3
2019-03-01,Kaunas,Aleksotas,4.37
2019-12-01,Kaunas,Aleksotas,6.31
2020-12-01,Kaunas,Aleksotas,5.48
2020-07-01,Kaunas,Aleksotas,5.32
2018-03-01,Kaunas,Aleksotas,4.96
2020-11-01,Kaunas,Aleksotas,6.13
2021-01-01,Kaunas,Aleksotas,6.69
2020-05-01,Kaunas,Aleksotas,4.72
2018-05-01,Kaunas,Aleksotas,5.7
2019-05-01,Kaunas,Aleksotas,5.2
2018-08-01,Kaunas,Aleksotas,3.95
2019-07-01,Kaunas,Aleksotas,4.71
2019-10-01,Kaunas,Aleksotas,7.55
2020-03-01,Kaunas,Aleksotas,3.67
2020-06-01,Kaunas,Aleksotas,5.15
2020-08-01,Kaunas,Aleksotas,5.19
2019-04-01,Kaunas,Aleksotas,4.1
2018-10-01,Kaunas,Aleksotas,4.9
2019-01-01,Kaunas,Aleksotas,3.79
2020-01-01,Kaunas,Aleksotas,6.83
2018-01-01,Kaunas,Aleksotas,4.97
2018-09-01,Kaunas,Aleksotas,5.01
2020-04-01,Kaunas,Aleksotas,5.44
2019-02-01,Kaunas,Aleksotas,4.4
2019-08-01,Kaunas,Aleksotas,5.66
2018-02-01,Kaunas,Aleksotas,4.8
2019-09-01,Kaunas,Aleksotas,6.52
2019-06-01,Kaunas,Aleksotas,4.55
2020-09-01,Kaunas,Aleksotas,4.92
2019-11-01,Kaunas,Aleksotas,7.4
2020-02-01,Kaunas,Aleksotas,5.98
2018-04-01,Kaunas,Aleksotas,5.58
2021-09-01,Kaunas,Aleksotas,7.61
2019-10-01,Kaunas,Aukštieji Šančiai,5.82
2019-07-01,Kaunas,Aukštieji Šančiai,6.57
2019-02-01,Kaunas,Aukštieji Šančiai,4.5
2019-08-01,Kaunas,Aukštieji Šančiai,7.01
2019-06-01,Kaunas,Aukštieji Šančiai,6.36
2019-04-01,Kaunas,Aukštieji Šančiai,3.71
2018-05-01,Kaunas,Aukštieji Šančiai,6.24
2018-04-01,Kaunas,Aukštieji Šančiai,5.89
2020-02-01,Kaunas,Aukštieji Šančiai,5.11
2017-12-01,Kaunas,Aukštieji Šančiai,5.7
2019-09-01,Kaunas,Aukštieji Šančiai,7.32
2018-01-01,Kaunas,Aukštieji Šančiai,5.7
2019-05-01,Kaunas,Aukštieji Šančiai,4.27
2019-03-01,Kaunas,Aukštieji Šančiai,3.73
2019-11-01,Kaunas,Aukštieji Šančiai,4.29
2018-04-01,Kaunas,Vytėnai,6.44
2019-05-01,Kaunas,Vytėnai,3.67
2019-11-01,Kaunas,Vytėnai,3.96
2020-12-01,Kaunas,Vytėnai,3.04
2019-10-01,Kaunas,Vytėnai,4.32
2020-05-01,Kaunas,Vytėnai,8.89
2018-02-01,Kaunas,Vytėnai,6.44
2021-02-01,Kaunas,Vytėnai,5.31
2018-01-01,Kaunas,Vytėnai,6.44
2018-09-01,Kaunas,Vytėnai,6.83
2021-01-01,Kaunas,Vytėnai,4.38
2020-07-01,Kaunas,Vytėnai,6.28
2019-06-01,Kaunas,Vytėnai,4.29
2019-04-01,Kaunas,Vytėnai,3.38
2020-09-01,Kaunas,Vytėnai,7.78
2021-12-01,Kaunas,Vytėnai,9.54
2018-12-01,Kaunas,Vytėnai,7.52
2018-08-01,Kaunas,Vytėnai,7.05
2019-09-01,Kaunas,Vytėnai,5.26
2019-01-01,Kaunas,Vytėnai,8.42
2018-03-01,Kaunas,Vytėnai,6.44
2021-03-01,Kaunas,Vytėnai,10.89
2017-12-01,Kaunas,Vytėnai,6.44
2019-12-01,Kaunas,Vytėnai,6.2
2020-01-01,Kaunas,Vytėnai,5.55
2018-06-01,Kaunas,Vytėnai,6.88
2019-08-01,Kaunas,Vytėnai,5.49
2018-07-01,Kaunas,Vytėnai,7.2
2020-02-01,Kaunas,Vytėnai,5.61
2019-03-01,Kaunas,Vytėnai,3.38
2019-07-01,Kaunas,Vytėnai,5.69
2020-08-01,Kaunas,Vytėnai,7.65
2018-11-01,Kaunas,Vytėnai,6.97
2020-12-01,Kaunas,Vilijampolė,4.95
