Date,City,District,Price
2017-12-01,Alytus,Dainava,313.84
2018-01-01,Alytus,Dainava,313.84
2018-11-01,Alytus,Dainava,274.38
2018-06-01,Alytus,Dainava,312.25
2018-09-01,Alytus,Dainava,311.88
2018-08-01,Alytus,Dainava,311.88
2018-02-01,Alytus,Dainava,351.29
2019-03-01,Alytus,Dainava,274.38
2018-04-01,Alytus,Dainava,313.84
2019-04-01,Alytus,Dainava,274.38
2018-10-01,Alytus,Dainava,284.05
2018-12-01,Alytus,Dainava,274.38
2019-05-01,Alytus,Dainava,274.38
2018-07-01,Alytus,Dainava,311.88
2018-05-01,Alytus,Dainava,313.84
2018-03-01,Alytus,Dainava,427.63
2019-01-01,Alytus,Dainava,274.38
2019-02-01,Alytus,Dainava,274.38
2019-03-01,Alytus,Likiškiai,250.89
2018-04-01,Alytus,Likiškiai,257.77
2018-03-01,Alytus,Likiškiai,348.05
2018-08-01,Alytus,Likiškiai,643.7
2020-02-01,Alytus,Likiškiai,428.57
2019-10-01,Alytus,Likiškiai,522.96
2019-06-01,Alytus,Likiškiai,415.53
2019-02-01,Alytus,Likiškiai,281.26
2018-07-01,Alytus,Likiškiai,559.21
2018-10-01,Alytus,Likiškiai,666.34
2019-05-01,Alytus,Likiškiai,456.07
2019-08-01,Alytus,Likiškiai,42.33
2018-05-01,Alytus,Likiškiai,261.71
2018-11-01,Alytus,Likiškiai,580.5
2019-01-01,Alytus,Likiškiai,335.53
2019-11-01,Alytus,Likiškiai,481.71
2018-09-01,Alytus,Likiškiai,589.7
2019-04-01,Alytus,Likiškiai,288.29
2018-06-01,Alytus,Likiškiai,346.37
2020-03-01,Alytus,Likiškiai,408.75
2018-12-01,Alytus,Likiškiai,528.35
2018-01-01,Alytus,Likiškiai,357.78
2019-12-01,Alytus,Likiškiai,471.43
2017-12-01,Alytus,Likiškiai,360.38
2019-07-01,Alytus,Likiškėliai,511.71
2020-10-01,Alytus,Likiškėliai,704.87
2017-12-01,Alytus,Likiškėliai,354.16
2019-11-01,Alytus,Likiškėliai,477.86
2018-12-01,Alytus,Likiškėliai,338.29
2018-05-01,Alytus,Likiškėliai,382.7
2017-01-01,Alytus,Likiškėliai,452.37
2017-10-01,Alytus,Likiškėliai,408.97
2019-12-01,Alytus,Likiškėliai,472.24
2020-03-01,Alytus,Likiškėliai,574.16
2018-09-01,Alytus,Likiškėliai,422.26
2019-08-01,Alytus,Likiškėliai,483.72
2019-05-01,Alytus,Likiškėliai,388.63
2018-04-01,Alytus,Likiškėliai,345.06
2020-12-01,Alytus,Likiškėliai,587.5
2021-02-01,Alytus,Likiškėliai,572.75
2018-08-01,Alytus,Likiškėliai,339.68
2019-01-01,Alytus,Likiškėliai,335.93
2020-11-01,Alytus,Likiškėliai,659.65
2018-11-01,Alytus,Likiškėliai,354.56
2020-06-01,Alytus,Likiškėliai,596.29
2019-10-01,Alytus,Likiškėliai,474.08
2018-03-01,Alytus,Likiškėliai,325.3
2019-09-01,Alytus,Likiškėliai,470.81
2019-04-01,Alytus,Likiškėliai,399.28
2020-01-01,Alytus,Likiškėliai,516.41
2021-01-01,Alytus,Likiškėliai,531.74
2017-06-01,Alytus,Likiškėliai,347.19
2019-02-01,Alytus,Likiškėliai,280.25
2020-02-01,Alytus,Likiškėliai,512.13
2020-04-01,Alytus,Likiškėliai,518.44
2020-07-01,Alytus,Likiškėliai,534.75
2018-01-01,Alytus,Likiškėliai,360.86
2017-05-01,Alytus,Likiškėliai,344.56
2018-06-01,Alytus,Likiškėliai,416.56
2019-06-01,Alytus,Likiškėliai,392.84
2017-03-01,Alytus,Likiškėliai,383.42
2019-03-01,Alytus,Likiškėliai,351.6
2017-11-01,Alytus,Likiškėliai,354.37
2017-04-01,Alytus,Likiškėliai,374.01
2020-09-01,Alytus,Likiškėliai,572.41
2017-08-01,Alytus,Likiškėliai,322.88
2020-05-01,Alytus,Likiškėliai,503.3
2018-02-01,Alytus,Likiškėliai,346.88
2018-10-01,Alytus,Likiškėliai,461.21
2017-09-01,Alytus,Likiškėliai,353.08
2017-02-01,Alytus,Likiškėliai,446.84
2018-07-01,Alytus,Likiškėliai,442.39
2020-08-01,Alytus,Likiškėliai,550.78
2017-07-01,Alytus,Likiškėliai,342.06
2019-06-01,Alytus,Vidzgiris,575.65
2020-05-01,Alytus,Vidzgiris,643.66
2021-02-01,Alytus,Vidzgiris,530.74
2018-08-01,Alytus,Vidzgiris,313.41
2019-04-01,Alytus,Vidzgiris,586.78
2021-03-01,Alytus,Vidzgiris,539.94
2018-12-01,Alytus,Vidzgiris,555.83
2019-10-01,Alytus,Vidzgiris,666.76
2018-03-01,Alytus,Vidzgiris,218.97
2019-08-01,Alytus,Vidzgiris,626.47
2018-07-01,Alytus,Vidzgiris,320.42
2019-05-01,Alytus,Vidzgiris,538.62
2019-09-01,Alytus,Vidzgiris,645.78
2019-01-01,Alytus,Vidzgiris,618.48
2020-02-01,Alytus,Vidzgiris,684.26
2018-05-01,Alytus,Vidzgiris,259.57
2018-09-01,Alytus,Vidzgiris,383.2
2019-03-01,Alytus,Vidzgiris,608.66
2020-03-01,Alytus,Vidzgiris,643.03
2020-01-01,Alytus,Vidzgiris,617.17
2020-11-01,Alytus,Vidzgiris,533.34
2019-12-01,Alytus,Vidzgiris,655.52
2020-06-01,Alytus,Vidzgiris,590.62
2018-10-01,Alytus,Vidzgiris,438.15
2021-01-01,Alytus,Vidzgiris,492.15
2019-02-01,Alytus,Vidzgiris,741.11
2020-08-01,Alytus,Vidzgiris,523.6
2020-04-01,Alytus,Vidzgiris,628.18
2020-09-01,Alytus,Vidzgiris,519.07
2021-06-01,Alytus,Vidzgiris,664.82
2018-04-01,Alytus,Vidzgiris,243.33
2018-11-01,Alytus,Vidzgiris,551.44
2020-10-01,Alytus,Vidzgiris,539.12
2019-07-01,Alytus,Vidzgiris,607.09
2019-11-01,Alytus,Vidzgiris,704.27
2018-06-01,Alytus,Vidzgiris,301.01
2020-07-01,Alytus,Vidzgiris,480.74
2020-12-01,Alytus,Vidzgiris,560.85
2018-05-01,Alytus,Putinai,339.68
2018-03-01,Alytus,Putinai,379.07
2017-02-01,Alytus,Putinai,535.23
2018-11-01,Alytus,Putinai,209.66
2017-01-01,Alytus,Putinai,529.8
2018-02-01,Alytus,Putinai,399.63
2019-01-01,Alytus,Putinai,301.94
2018-08-01,Alytus,Putinai,114.71
2017-09-01,Alytus,Putinai,453.39
2017-10-01,Alytus,Putinai,400.75
2018-06-01,Alytus,Putinai,303.9
2018-01-01,Alytus,Putinai,375.88
2017-07-01,Alytus,Putinai,435.14
2017-06-01,Alytus,Putinai,498.69
2018-07-01,Alytus,Putinai,270.79
2017-03-01,Alytus,Putinai,538.35
2017-08-01,Alytus,Putinai,433.55
2017-05-01,Alytus,Putinai,543.87
2017-12-01,Alytus,Putinai,402.41
