index,Price,PricePerM2,Area,floor,Number of floors,Room count,Built year,Heating,Equipment,City,District,href
0,75000,1071,70.0,1,2,3,1965-01-01,Solid fuel,Fully equipped,Kaunas,Sargėnai,https://en.aruodas.lt/butai-kaune-sargenuose-vandziogalos-pl-irengtas-butas-rami-vieta-parduodamas-su-1-3250245/
0,199000,1487,133.82,3,4,4,2008-01-01,"Gas, solid fuel",Fully equipped,Kaunas,Sargėnai,https://en.aruodas.lt/butai-kaune-sargenuose-tvenkinio-g-isskirtinis-4-kambariu-butas-loftas-1-3250403/
0,58000,2071,28.0,2,3,2,2021-01-01,Electric,Fully equipped,Kaunas,Sargėnai,https://en.aruodas.lt/butai-kaune-sargenuose-vandziogalos-pl-parduodamas-irengtas-dvieju-kambariu-butas-1-3250183/
0,53000,1039,51.0,1,2,3,1996-01-01,"Electric, solid fuel",Fully equipped,Kaunas,Sargėnai,https://en.aruodas.lt/butai-kaune-sargenuose-vandziogalos-pl-parduodamas-triju-kambariu-butas-sargenuose-1-3248911/
0,96000,1313,73.11,9,9,4,1989-01-01,Central,Fully equipped,Vilnius,Naujoji Vilnia,https://en.aruodas.lt/butai-vilniuje-naujojoje-vilnioje-parko-g-skubiai-parduodamas-investicinis-4-kambariu-1-3237908/
0,61500,1847,33.3,6,6,2,1986-01-01,Central,Fully equipped,Vilnius,Naujoji Vilnia,https://en.aruodas.lt/butai-vilniuje-naujojoje-vilnioje-karklenu-g-butas-tvarkingas-tinkamas-gyvenimui-ir-1-3251473/
0,150000,1835,81.75,5,5,5,1984-01-01,Central,Fully equipped,Vilnius,Naujoji Vilnia,https://en.aruodas.lt/butai-vilniuje-naujojoje-vilnioje-linksmoji-g-patogiai-bei-praktiskai-isplanuotas-butas-1-3251287/
0,85000,1049,81.0,1,2,2,1890-01-01,"Aerothermal, gas, other",Partial decoration,Vilnius,Naujoji Vilnia,https://en.aruodas.lt/butai-vilniuje-naujojoje-vilnioje-dumu-g-parduodamas-retas-objektas-vilniuje-tikras-1-3250399/
0,46000,1603,28.69,4,4,1,1970-01-01,Electric,Fully equipped,Vilnius,Naujoji Vilnia,https://en.aruodas.lt/butai-vilniuje-naujojoje-vilnioje-pramones-g-parduodamas-naujai-irengtas-mikro-loftas-1-3250057/
0,149000,2011,74.08,3,5,4,1975-01-01,Central,Fully equipped,Vilnius,Naujoji Vilnia,https://en.aruodas.lt/butai-vilniuje-naujojoje-vilnioje-geniu-g-buto-privalumai-balkonas-rusys-1-3249951/
0,105000,1694,62.0,2,5,3,1985-01-01,Central,Fully equipped,Vilnius,Naujoji Vilnia,https://en.aruodas.lt/butai-vilniuje-naujojoje-vilnioje-parko-g-triju-kambariu-62-m2-butas-parko-g-naujojoje-1-3249937/
0,129900,2451,53.0,2,5,2,1983-01-01,Central,Fully equipped,Vilnius,Naujoji Vilnia,https://en.aruodas.lt/butai-vilniuje-naujojoje-vilnioje-geroves-g-parduodamas-naujai-suremontuotas-dvieju-1-3248985/
0,36500,2028,18.0,3,3,1,1988-01-01,"Gas, electric",Fully equipped,Vilnius,Naujoji Vilnia,https://en.aruodas.lt/butai-vilniuje-naujojoje-vilnioje-dumu-g-parduodamas-studio-tipo-butukasirengtas-3-1-3246391/
0,30400,760,40.0,2,2,2,1972-01-01,Other,Other,Vilnius,Naujoji Vilnia,https://en.aruodas.lt/butai-vilniuje-naujojoje-vilnioje-kloniu-g-parduodama-namo-dalis-2-kambariu-butas-name-1-3215854/
0,118000,1848,63.87,5,5,3,1980-01-01,Central,Fully equipped,Vilnius,Naujoji Vilnia,https://en.aruodas.lt/butai-vilniuje-naujojoje-vilnioje-geniu-g-puikus-tvarkingas-butas-galima-gyventi-1-3244501/
0,129000,1613,80.0,1,1,4,2022-01-01,Electric,Partial decoration,Vilnius,Naujoji Vilnia,https://en.aruodas.lt/butai-vilniuje-naujojoje-vilnioje-ateities-sodu-1-oji-g-parduodamas-namas-uz-buto-kaina-beveik-8-a-1-3244323/
0,57300,1910,30.0,1,2,2,1965-01-01,"Electric, other",Fully equipped,Vilnius,Naujoji Vilnia,https://en.aruodas.lt/butai-vilniuje-naujojoje-vilnioje-dumu-g-aukstos-lubos-44m-su-antresole-2m-1-3243471/
0,149999,1899,79.0,5,5,3,1996-01-01,Central,Fully equipped,Vilnius,Naujoji Vilnia,https://en.aruodas.lt/butai-vilniuje-naujojoje-vilnioje-linksmoji-g-parduodamas-3-kambariu-butas-naujoje-vilnioje-1-2934297/
0,120000,1143,105.0,1,1,4,1940-01-01,"Gas, solid fuel",Fully equipped,Vilnius,Naujoji Vilnia,https://en.aruodas.lt/butai-vilniuje-naujojoje-vilnioje-pramones-g-vilniuje-naujojoje-vilnioje-1-3241308/
0,55000,1319,41.7,1,2,2,1953-01-01,Solid fuel,Fully equipped,Vilnius,Naujoji Vilnia,https://en.aruodas.lt/butai-vilniuje-naujojoje-vilnioje-a-kojelaviciaus-g-parduodamas-2-kambariu-butas-akojelaviciaus-1-3249543/
0,28000,1276,21.94,2,5,1,1967-01-01,Central,Fully equipped,Vilnius,Naujoji Vilnia,https://en.aruodas.lt/butai-vilniuje-naujojoje-vilnioje-pergales-g-kambarys-bendrabutyjebendras-dusastualetas-1-3247365/
