City,District,ListingsCount
Alytus,Vidzgiris,43
Kaunas,Aleksotas,27
Kaunas,Aukštieji Šančiai,41
Kaunas,Centras,115
Kaunas,Dainava,172
Kaunas,Eiguliai,41
Kaunas,Freda,21
Kaunas,Kalniečiai,30
Kaunas,Panemunė,20
Kaunas,Senamiestis,31
Kaunas,Vilijampolė,58
Kaunas,Šilainiai,93
Kaunas,Žaliakalnis,136
Kaunas,Žemieji Šančiai,41
Klaipėda,Alksnynė,30
Klaipėda,Baltija,53
Klaipėda,Bandužiai,50
Klaipėda,Centras,163
Klaipėda,Debrecenas,59
Klaipėda,Kaunas,42
Klaipėda,Laukininkai,25
Klaipėda,Mažasis kaimelis,26
Klaipėda,Miškas,29
Klaipėda,Poilsis,20
Klaipėda,Senamiestis,53
Klaipėda,Vingis,34
Klaipėda,Žvejybos uostas,42
Palanga,Palanga,150
Panevėžys,Centras,74
Panevėžys,Klaipėdos,41
Panevėžys,Kniaudiškiai,23
Vilnius,Antakalnis,127
Vilnius,Bajorai,35
Vilnius,Baltupiai,63
Vilnius,Fabijoniškės,67
Vilnius,Jeruzalė,29
Vilnius,Justiniškės,66
Vilnius,Karoliniškės,62
Vilnius,Lazdynai,43
Vilnius,Lazdynėliai,77
Vilnius,Markučiai,28
Vilnius,Naujamiestis,239
Vilnius,Naujininkai,71
Vilnius,Naujoji Vilnia,50
Vilnius,Paupys,25
Vilnius,Pašilaičiai,178
Vilnius,Pilaitė,117
Vilnius,Santariškės,42
Vilnius,Senamiestis,163
Vilnius,Užupis,75
Vilnius,Verkiai,26
Vilnius,Vilkpėdė,31
Vilnius,Viršuliškės,56
Vilnius,Visoriai,21
Vilnius,Šeškinė,56
Vilnius,Šiaurės miestelis,34
Vilnius,Šnipiškės,162
Vilnius,Žemieji Paneriai,27
Vilnius,Žirmūnai,152
Vilnius,Žvėrynas,76
Šiauliai,Centras,133
Šiauliai,Dainiai,55
Šiauliai,Gytariai,26
Šiauliai,Lieporiai,47
Šiauliai,Žaliūkiai,20
